Name,Project Title,Amount($),Fiscal Year,Program
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2017-2018,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2018-2019,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Next generation phylogenetic modelling using machine learning,29000,2012-2013,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Next generation phylogenetic modelling using machine learning,29000,2011-2012,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Next generation phylogenetic modelling using machine learning,29000,2014-2015,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Next generation phylogenetic modelling using machine learning,29000,2013-2014,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Next generation phylogenetic modelling using machine learning,29000,2015-2016,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2021-2022,Discovery Grants Program - Individual
"Boucheneb, Hanifa",Vérification par model-checking et synthèse de contrôleur de systèmes temps réel complexes,38000,2018-2019,Discovery Grants Program - Individual
"Boucheneb, Hanifa",Vérification par model-checking et synthèse de contrôleur de systèmes temps réel complexes,38000,2017-2018,Discovery Grants Program - Individual
"Boucheneb, Hanifa",Vérification par model-checking et synthèse de contrôleur de systèmes temps réel complexes,38000,2016-2017,Discovery Grants Program - Individual
"Boucheneb, Hanifa",Vérification par model-checking et synthèse de contrôleur de systèmes temps réel complexes,38000,2019-2020,Discovery Grants Program - Individual
"Boucheneb, Hanifa",Vérification par model-checking et synthèse de contrôleur de systèmes temps réel complexes,38000,2020-2021,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Data Mining for Energy Analysis,25000,2016-2017,Engage Grants Program
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2016-2017,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Data Mining for Energy Analysis,12500,2017-2018,Engage Plus Grants Program
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2017-2018,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2015-2016,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Mining Online Customers' Data to Increase Shopper-to-Shopper Engine Recommendation Capabilities,25000,2015-2016,Engage Grants Program
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2013-2014,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2011-2012,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Knowledge discovery from online social network,25000,2012-2013,Discovery Grants Program - Individual
"Bouguessa, Mohamed",Multidimensional Heterogeneous Information Network Analysis and Mining,23000,2022-2023,Discovery Grants Program - Individual
"Bouguila, Nizar",A unified framework for interactive explainable unsupervised learning and unsupervised model adaptation: Application to multimodal activity recognition,46000,2023-2024,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2021-2022,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2022-2023,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2017-2018,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2018-2019,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2020-2021,Discovery Grants Program - Individual
"Bouguila, Nizar","Time-sensitive non-parametric Bayesian approaches for events modeling, recognition and prediction",23000,2019-2020,Discovery Grants Program - Individual
"BouHarb, Elias",Analysis of Darknet Space for Predictive Indicators of Cyber Threat Activity,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"BouHarb, Elias",Automated and Real-time Generation of Cyber Threat Intelligence by leveraging Big Data Analytics for Critical Infrastructure Protection,45000,2015-2016,Postdoctoral Fellowships
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,150000,2015-2016,Collaborative Research and Training Experience
"Boukerche, Azzedine",Towards the Design of error-free and scalable spatial temporal localization protocols for heterogeneous Wireless Sensor Networks,39000,2015-2016,Discovery Grants Program - Individual
"Boukerche, Azzedine",DISTRACT: cooperative distributed target in multi-tier heterogeneous wireless sensor networks (WSN),154500,2015-2016,Strategic Projects - Group
"Boukerche, Azzedine",DISTRACT: cooperative distributed target in multi-tier heterogeneous wireless sensor networks (WSN),154500,2014-2015,Strategic Projects - Group
"Boukerche, Azzedine",DISTRACT: cooperative distributed target in multi-tier heterogeneous wireless sensor networks (WSN),154000,2013-2014,Strategic Projects - Group
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,150000,2020-2021,Collaborative Research and Training Experience
"Boukerche, Azzedine",Large-Scale Distributed Interactive Simulation and Wireless and Mobile Networking,50000,2020-2021,Canada Research Chairs
"Boukerche, Azzedine",Large-Scale Distributed Interactive Simulation and Wireless and Mobile Networking,200000,2019-2020,Canada Research Chairs
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,450000,2019-2020,Collaborative Research and Training Experience
"Boukerche, Azzedine",Towards the Design of error-free and scalable spatial temporal localization protocols for heterogeneous Wireless Sensor Networks,39000,2018-2019,Discovery Grants Program - Individual
"Boukerche, Azzedine",OpContent - Opportunistic Content Delivery in vehicular networks,174000,2018-2019,Strategic Projects - Group
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,300000,2018-2019,Collaborative Research and Training Experience
"Boukerche, Azzedine",Large-Scale Distributed Interactive Simulation and Wireless and Mobile Networking,200000,2018-2019,Canada Research Chairs
"Boukerche, Azzedine",OpContent - Opportunistic Content Delivery in vehicular networks,174000,2017-2018,Strategic Projects - Group
"Boukerche, Azzedine",Large-Scale Distributed Interactive Simulation and Wireless and Mobile Networking,200000,2017-2018,Canada Research Chairs
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,300000,2017-2018,Collaborative Research and Training Experience
"Boukerche, Azzedine",OpContent - Opportunistic Content Delivery in vehicular networks,174000,2016-2017,Strategic Projects - Group
"Boukerche, Azzedine",TRANSIT: Training and Research in Advanced Network Systems for Intelligent Transportation,300000,2016-2017,Collaborative Research and Training Experience
"Boukerche, Azzedine",Towards the Design of error-free and scalable spatial temporal localization protocols for heterogeneous Wireless Sensor Networks,39000,2016-2017,Discovery Grants Program - Individual
"Boukrich, Ali",Confronting pitfalls of human-like machine learning systems,17500,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Boulanger, David",A framework for big data learning analytics,4500,2013-2014,University Undergraduate Student Research Awards
"Boulanger, David",Pedagogical software agent to promote self-regulation skills in coding analytics,4500,2014-2015,University Undergraduate Student Research Awards
"Boulianne, Gilles",Deep structured speech models,38000,2022-2023,Discovery Grants Program - Individual
"Boutaba, Raouf",Securing elastic radio access networks,38369,2019-2020,Collaborative Research and Development Grants
"Boutaba, Raouf",Securing elastic radio access networks,38369,2020-2021,Collaborative Research and Development Grants
"Boutilier, Craig",Computational Preference Assessment and Optimization for Group Decision Support,66000,2017-2018,Discovery Grants Program - Individual
"Boutilier, Craig",Computational Preference Assessment and Optimization for Group Decision Support,66000,2015-2016,Discovery Grants Program - Individual
"Boutilier, Craig",Computational Preference Assessment and Optimization for Group Decision Support,66000,2016-2017,Discovery Grants Program - Individual
"Boutilier, Craig",Computational Preference Assessment and Optimization for Group Decision Support,66000,2014-2015,Discovery Grants Program - Individual
"Boutilier, Craig",Computational Preference Assessment and Optimization for Group Decision Support,66000,2013-2014,Discovery Grants Program - Individual
"bouzouane, abdenour",Fouille de données massives : habitat intelligent dans l'internet des objets apprenants,20000,2022-2023,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Decision Making in Uncertain Environments,148000,2022-2023,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Game Theory in Imperfect Information Settings,42000,2012-2013,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Game Theory in Imperfect Information Settings,42000,2014-2015,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Game Theory in Imperfect Information Settings,42000,2013-2014,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Game Theory in Imperfect Information Settings,42000,2015-2016,Discovery Grants Program - Individual
"Bowling, Michael",Human-Scale Game Theory in Imperfect Information Settings,42000,2016-2017,Discovery Grants Program - Individual
"Bowman, William",Compilers that Preserve and Enforce Invariants and Proofs,33000,2022-2023,Discovery Grants Program - Individual
"Boyarinov, Konstantin","Learning, Belief Revision, and Information Security",4500,2020-2021,University Undergraduate Student Research Awards
"Boyd, Jeffrey",Spatial Analysis of Audio Images for Computational Musicology,23000,2022-2023,Discovery Grants Program - Individual
"Bradbury, Jeremy",Utilizing Artificial Intelligence to Improve the Testing and Debugging of Concurrent Software,23000,2022-2023,Discovery Grants Program - Individual
"Bradbury, Jeremy",Empirical assessment and improvement of fault detection techniques for conurrent software,15000,2012-2013,Discovery Grants Program - Individual
"Bradbury, Jeremy",Empirical assessment and improvement of fault detection techniques for conurrent software,15000,2011-2012,Discovery Grants Program - Individual
"Bradbury, Jeremy",Empirical assessment and improvement of fault detection techniques for conurrent software,15000,2010-2011,Discovery Grants Program - Individual
"Bradley, Susanne",Applications of Machine Learning in Sensorimotor Control,21000,2015-2016,Postgraduate Scholarships - Doctoral
